id,nome,preco,quantidade
1,Teclado Mecânico,249.9,15
2,Mouse Gamer,129.5,30
3,Monitor 24 Polegadas,899.99,12
4,Headset Bluetooth,199.9,20
5,Webcam Full HD,159.9,18
6,Notebook Básico,3299.0,8
7,SSD 1TB,479.9,25
8,HD Externo 2TB,529.9,10
9,Pendrive 64GB,49.9,50
10,Cadeira Ergonômica,1199.9,6
11,Mesa para Escritório,799.0,7
12,Luminária LED,89.9,22
13,Carregador USB-C,69.9,40
14,Cabo HDMI 2m,39.9,60
15,Adaptador USB,29.9,45
16,Caixa de Som,179.9,17
17,Microfone USB,289.9,11
18,Suporte para Notebook,99.9,28
19,Mouse Pad XL,79.9,35
20,Hub USB 4 Portas,59.9,24
21,Smartwatch Fit,699.9,9
22,Fone de Ouvido In-Ear,89.9,33
23,Power Bank 10000mAh,149.9,16
24,Roteador Wi-Fi 6,399.9,14
25,Switch de Rede,219.9,13
26,Impressora Multifuncional,849.9,5
27,Cartucho Preto,119.9,26
28,Papel A4 500 Folhas,39.5,70
29,Calculadora Científica,139.9,19
30,Agenda Executiva,49.9,38
31,Caneta Esferográfica,4.99,200
32,Bloco de Notas,12.9,120
33,Mochila para Notebook,189.9,18
34,Filtro de Linha,59.9,27
35,Estabilizador,249.9,10
36,Projetor Portátil,1699.9,4
37,Tela de Projeção,599.9,6
38,Tablet 10 Polegadas,1499.0,9
39,Câmera Digital,2499.9,3
40,Tripé Ajustável,159.9,15
41,Anel de Luz LED,129.9,21
42,Drone Compacto,2999.9,2
43,Controle Sem Fio,279.9,14
44,Console Portátil,1999.9,5
45,Jogo de Ferramentas,349.9,8
46,Lanterna Recarregável,99.9,23
47,Ventilador de Mesa,139.9,12
48,Umidificador de Ar,219.9,11
49,Cafeteira Elétrica,329.9,7
50,Garrafa Térmica,79.9,29
